,Biomass,Coal,Gas,Gas-CC,Hydro,Nuclear,Other,Solar,Wind,Time_Index
1/3/2020 22:00,35.015662,8933.369815,953.663482,17515.35533,104.833412,4315.170376,1.713813,0.0035,7990.479913,70
1/3/2020 23:00,35.211599,7546.358185,905.789098,17392.81764,103.896288,4315.088863,-1.11027,0.0035,8526.722985,71
1/3/2020 0:00,35.806158,7609.349297,844.654158,16351.90183,76.498539,4315.547559,-1.955506,0.0035,8393.670897,72
1/4/2020 1:00,35.536251,7779.871812,737.780536,15346.21251,40.727894,4314.932703,-1.932313,0.0035,8381.90036,73
1/4/2020 2:00,35.772217,7105.557409,735.836292,14916.40598,17.677812,4369.480455,-1.658849,0.007,8981.953965,74
1/4/2020 3:00,34.450077,6606.097143,739.941702,14932.74434,16.095565,4469.088096,-2.470688,0.0035,9525.332163,75
1/4/2020 4:00,34.361553,6301.006436,738.674982,14845.69641,42.884308,4482.730589,-0.789288,0.0035,10078.20335,76
1/4/2020 5:00,34.335034,6313.758543,749.142911,15372.15445,64.685556,4506.030697,0.365038,0.0035,10220.19667,77
1/4/2020 6:00,34.257237,7239.695317,848.823549,16611.63654,103.13361,4577.066735,-1.19661,0.0035,9466.643663,78
1/4/2020 7:00,31.726472,8416.041953,875.021427,17906.18491,129.04435,4689.768092,-2.658921,0.0035,8571.229016,79
1/4/2020 8:00,33.042513,10201.20309,1043.679234,19000.25833,128.901058,4732.637708,-1.45737,6.928307,7225.783406,80
1/4/2020 9:00,32.06225,11370.77859,1032.263586,19271.79622,128.818892,4733.603301,-1.635867,545.025499,5650.730271,81
1/4/2020 10:00,31.735838,11648.74351,1086.183625,19410.1222,129.408885,4778.952173,-0.660342,1759.25829,2824.591883,82
1/4/2020 11:00,28.848932,11464.69863,1060.733778,19249.59919,174.206256,4904.138048,-1.847139,1987.114906,1393.792124,83
1/4/2020 12:00,28.368117,11037.32238,1010.918251,18569.86143,156.246784,4929.381546,-1.71759,1953.29296,1311.650801,84
1/4/2020 13:00,29.075589,9874.410916,958.192007,17716.70098,155.047704,5043.906542,-12.737038,1905.139009,2028.748591,85
1/4/2020 14:00,29.003037,8647.603768,821.310578,16628.50864,110.231115,5057.990512,-11.662714,1919.963936,3315.100143,86
1/4/2020 15:00,29.35622,7708.542045,741.851477,16055.95302,100.146216,5058.91963,-9.349377,1977.507261,4202.785889,87
1/4/2020 16:00,29.982937,6957.650473,736.154834,15615.38464,99.713595,5056.282006,-1.61193,1963.584271,5025.738761,88
1/4/2020 17:00,31.540021,6862.483751,699.167218,15807.29187,99.816666,5062.874268,-0.221948,1486.706098,5416.01943,89
1/4/2020 18:00,31.532464,8066.823911,747.329164,16439.98893,99.554308,5069.698714,-1.474585,283.038534,5703.473235,90
1/4/2020 19:00,31.340159,8276.246059,759.857325,16402.81633,101.217333,5072.834751,-0.808576,0.007,7595.223614,91
1/4/2020 20:00,30.67294,7278.807658,725.551226,15077.58496,101.492615,5073.106389,-0.48589,0.0035,10411.05542,92
1/4/2020 21:00,30.357898,6745.352171,726.520408,13388.77441,104.483367,5071.754769,-1.544014,0.0035,12836.82431,93
1/4/2020 22:00,31.23835,6351.995479,644.755108,11199.54491,103.720733,5072.330529,-0.748332,0.0035,15388.34178,94
1/4/2020 23:00,31.232338,6166.666426,628.421007,8644.017601,63.784334,5072.557915,-0.759332,0.0035,17454.31374,95
1/4/2020 0:00,30.406283,5916.620928,624.033337,7244.441483,36.496879,5073.14051,-0.409665,0.007,18180.04246,96
1/5/2020 1:00,30.027018,5226.707779,627.823311,6671.551467,42.009546,5073.45351,-0.187197,0.0035,18477.54935,97
1/5/2020 2:00,30.287514,4888.745952,629.83499,6298.699013,18.327006,5073.609632,1.803249,0.0035,18610.13664,98
1/5/2020 3:00,30.216373,4846.030297,632.774086,6436.014828,18.141928,5073.689371,0.309654,0.0035,18395.31009,99
1/5/2020 4:00,30.072882,5035.801851,641.893035,7145.800142,18.132979,5073.954665,0.327114,0.0035,17653.43251,100
1/5/2020 5:00,30.140697,5597.473082,641.559432,7747.085682,18.12441,5074.252842,-0.331456,0.0035,16918.79391,101
1/5/2020 6:00,29.715537,6135.416433,658.904671,8869.944487,22.132981,5074.988578,-0.139023,0.007,16180.66474,102
1/5/2020 7:00,30.050135,6948.670884,695.021556,10619.50175,86.14741,5073.558589,2.372378,0.0035,14774.24646,103
1/5/2020 8:00,29.852987,8325.462153,695.224284,11721.51461,113.300202,5074.551506,0.595898,5.909227,13598.15124,104
1/5/2020 9:00,28.724781,8642.322544,700.102169,12693.40983,132.298011,5079.0513,16.178229,555.435035,12019.66391,105
1/5/2020 10:00,29.416654,8002.740497,634.686272,13165.0143,132.130498,5082.524799,80.625126,1723.957365,10089.50752,106
1/5/2020 11:00,30.851932,6395.915926,614.911149,11494.90516,178.078464,5085.161557,-7.834995,1969.014578,11804.25984,107
1/5/2020 12:00,31.17836,5440.318999,599.52261,9873.329782,160.126241,5089.487846,-11.249844,1639.625605,13662.79409,108
1/5/2020 13:00,31.036826,5438.175751,595.392266,10935.94216,145.655669,5093.185556,-5.117173,1904.91799,11612.44474,109
1/5/2020 14:00,28.438271,5989.379777,597.587988,12986.28941,105.505002,5093.231003,-0.206229,1919.985864,8368.475634,110
1/5/2020 15:00,31.263351,6922.530326,594.283232,13872.50272,105.044889,5095.0345,-0.111133,1976.775128,6119.289927,111
1/5/2020 16:00,30.582786,7358.387288,596.228068,14553.60539,101.737486,5094.826768,0.469982,1951.031333,4940.528529,112
1/5/2020 17:00,30.412974,7759.467119,644.007725,15288.47766,101.799941,5095.997387,-0.537955,1477.882774,4653.426721,113
1/5/2020 18:00,31.157209,9114.826461,714.000948,16502.97354,101.675267,5096.292236,-1.294259,284.985623,4361.32076,114
1/5/2020 19:00,30.568758,10568.47588,773.45847,16833.16728,102.148918,5095.6364,-2.254254,0.0035,4815.275143,115
1/5/2020 20:00,30.924458,9478.750962,737.415253,16787.47106,101.847482,5094.644519,-0.669787,0.0035,6034.244207,116
1/5/2020 21:00,31.215442,7958.729853,681.593437,16526.81074,102.642527,5093.555309,-0.846149,0.0035,7500.939083,117
1/5/2020 22:00,31.247184,7019.066942,618.674173,15708.15109,104.712876,5094.361233,-0.252015,0.0035,8597.700525,118
1/5/2020 23:00,31.13674,6470.2604,613.011254,14956.60262,104.507348,5094.825853,-2.000161,0.007,8647.124199,119
1/5/2020 0:00,30.625066,6209.789916,610.783135,14009.70874,77.285141,5094.559247,-0.160863,0.0035,8275.376906,120
1/6/2020 1:00,29.790757,5793.167013,616.681992,13627.23069,43.009184,5093.682413,-1.560158,0.0035,8238.268033,121
1/6/2020 2:00,29.891812,5653.180813,616.715669,13395.78247,19.24525,5094.917341,-0.744651,0.0035,8294.673136,122
1/6/2020 3:00,29.852457,5666.292311,616.528196,13516.73178,18.807672,5094.885157,0.011759,0.0035,8317.553656,123
1/6/2020 4:00,29.638236,5892.84941,618.89483,14192.02304,22.210554,5095.472244,-0.963739,0.0035,8072.746157,124
1/6/2020 5:00,29.528711,6250.943241,623.06896,15562.09494,59.916845,5095.874209,-0.851801,0.007,7723.147326,125
1/6/2020 6:00,28.275118,7146.966908,661.155315,18099.28874,60.144273,5096.198353,-2.575327,0.0035,7074.301711,126
1/6/2020 7:00,27.970791,9912.741321,901.398179,20277.42575,85.725695,5095.46676,-14.18022,0.0035,5726.592338,127
1/6/2020 8:00,28.973719,10982.70171,783.675231,21091.24049,86.840174,5096.193337,-13.539394,6.712967,5871.837999,128
1/6/2020 9:00,28.660677,10580.97304,646.996218,20694.26472,87.17616,5096.528916,-5.750122,370.3815,5991.85081,129
1/6/2020 10:00,29.967712,9978.064394,543.225484,20281.66283,100.137045,5096.294362,0.543921,1100.827931,5051.39741,130
1/6/2020 11:00,29.858499,8125.733468,536.83616,19539.74623,132.281577,5095.512109,-6.85743,1680.996471,6012.804852,131
1/6/2020 12:00,29.679639,6257.32113,532.153595,18289.67182,114.669766,5096.003939,-5.855543,1622.225281,8148.638813,132
1/6/2020 13:00,29.316883,5556.80546,527.403726,16611.91775,126.005616,5095.320849,-2.011928,1605.517076,9716.272981,133
1/6/2020 14:00,28.881099,4947.788411,520.162008,14870.95926,111.253743,5095.055446,-1.110655,1614.54832,11720.06531,134
1/6/2020 15:00,28.987361,4874.621292,514.537115,13109.45397,37.214431,5094.738021,-1.281417,1583.862008,13593.14013,135
1/6/2020 16:00,29.898742,4784.281647,517.40564,13017.62502,21.907101,5094.87111,-0.761892,1200.420617,14044.8337,136
1/6/2020 17:00,29.541815,5079.244913,519.252976,13197.54736,59.781291,5095.698516,-0.489678,831.147312,13738.39388,137
