Time Index,2013,2014,2015,2016,2017,2018,2019,2020,2021
231,23.138002,32.257145,26.522684,13.930812,25.764961,15.041732,20.97467,18.04531,24.366377
232,23.495268,30.190405,28.656738,13.840714,29.888933,14.347227,18.012518,16.494738,25.00141
233,24.293486,33.090702,34.749275,14.411986,29.261063,15.698002,20.865015,16.202183,26.44692
234,26.847261,41.87594,46.322598,17.927557,30.864193,17.480017,31.268286,14.415905,30.048782
235,30.211315,44.406174,54.88319,21.32956,32.21439,19.781313,27.237242,16.051044,41.017693
236,27.186771,44.03732,41.59472,21.970715,22.188942,20.512018,23.693998,15.157423,33.17626
237,25.668652,43.31873,39.19628,21.45226,21.807762,20.147358,21.417969,14.582071,27.905571
238,24.680182,42.464058,36.541866,19.559761,19.082321,17.906368,18.57637,12.903595,24.71364
239,21.28261,40.805374,33.526573,17.022835,16.412506,14.263348,16.263643,12.576621,22.009157
240,17.220419,39.341564,30.080662,15.47586,12.674986,11.679121,14.539028,9.724293,20.713772
241,16.666088,30.312782,29.632828,16.961044,9.947349,11.508609,12.292086,8.368607,19.325682
242,15.221664,27.769794,29.086384,16.676807,11.086985,11.564184,11.43242,9.1909075,19.24474
243,15.804096,28.752995,28.671045,16.495327,11.405905,11.857296,11.163842,8.8439,19.116873
244,16.679049,32.213455,28.963404,16.440035,11.722257,12.785267,11.962183,8.56778,19.54698
245,16.704964,35.5248,29.411186,17.558094,9.522404,13.788929,13.264193,8.532913,19.838736
246,18.610054,37.917908,30.78076,22.093191,14.824386,20.754622,17.02253,13.105451,23.44364
247,25.38036,40.23056,33.685623,38.04094,18.137062,24.85586,22.822851,14.744511,34.718227
248,27.806616,41.66478,36.139473,49.209488,16.996414,25.12522,23.395155,14.829375,48.507057
249,26.649864,42.39161,37.7523,23.968288,18.472439,23.060286,23.046,16.773046,50.662315
250,24.993414,43.021782,38.317913,24.161488,17.305313,21.635912,22.125898,16.491772,35.607697
251,23.712864,43.140068,37.311035,20.373304,18.14014,20.392712,21.190237,17.573097,31.447454
252,21.353275,41.98098,34.699722,16.35772,19.049105,19.284367,20.357323,21.597094,28.437273
253,19.715479,41.295216,32.088806,16.983864,17.187563,17.268652,19.471754,16.842178,27.313704
254,19.073755,40.916027,28.963802,16.480152,18.078157,17.448645,18.569489,16.736103,25.196247
255,20.378675,40.4853,26.572025,17.553253,17.633863,17.763498,17.721933,16.06111,24.911774
256,20.66121,40.42114,26.270098,16.860878,19.854069,19.58914,17.406784,16.051012,26.59421
257,22.339977,40.489487,27.60447,18.611324,19.783064,23.274664,18.903812,16.63774,27.587378
258,25.00764,41.260567,32.414604,26.504593,29.766933,26.243032,20.664553,19.50992,34.64721
259,27.442446,42.76528,34.641144,33.002743,26.129833,30.78023,21.38973,19.9092,42.41893
260,25.401964,42.242664,33.65094,30.93589,18.689161,31.533926,22.013807,18.145727,44.57077
261,24.379797,41.07448,32.623535,23.961617,18.33606,31.49945,22.596731,16.134872,39.126102
262,23.594423,34.775654,30.441477,21.741127,17.209541,31.069427,21.034214,14.994089,34.370407
263,22.363798,28.679865,27.31583,22.125751,15.475946,26.026342,19.314423,15.70855,28.992676
264,20.626041,27.673357,27.23816,17.960472,10.728308,25.208721,17.095585,17.276487,24.139
265,18.161871,24.363758,28.482414,19.864946,9.995116,24.588064,15.307229,13.404315,20.709162
266,18.335783,23.832249,28.408709,20.422958,7.385976,25.924606,13.029146,13.452339,21.038977
267,18.29572,24.150864,28.165829,20.036543,8.41848,25.849741,11.727592,15.011387,22.377733
268,17.209929,24.475815,28.35425,16.722448,11.087402,24.157652,11.144458,16.02103,23.322683
269,15.732308,25.132133,28.912085,16.971487,11.449652,26.980116,11.224041,17.113722,25.784771
270,18.27495,25.793198,29.703703,22.487185,15.180666,31.186836,11.897331,16.570162,29.624197
271,18.405807,26.309269,32.9671,40.790928,22.28738,41.764076,14.629632,16.444832,38.11389
272,18.336777,27.545246,35.064552,47.379898,24.047714,53.952007,16.531347,17.488829,64.58424
273,20.11505,29.190975,31.796457,20.474667,23.723999,41.884804,16.99174,17.242168,41.64774
274,22.666044,28.762024,30.59292,18.948277,23.74136,34.641712,16.47969,15.446903,27.663013
275,24.692114,27.238087,30.440845,17.336056,24.163847,31.603401,15.893998,13.706215,19.395643
276,25.642965,26.74615,30.836695,15.121208,25.612755,31.31793,15.902296,12.1678295,20.938154
277,25.321314,26.586363,30.707823,14.984458,26.411121,26.859865,15.945082,13.207183,20.059084
278,23.908276,26.423828,31.064342,14.312152,27.789753,24.108137,15.993351,14.173845,20.720934
279,24.190176,26.318949,30.961096,15.487695,26.959728,23.456846,16.263166,15.974235,24.891405
280,24.194063,26.320871,31.668985,15.287135,24.752918,23.098133,17.345232,17.551834,24.849096
281,24.137264,26.664312,35.22486,15.260063,22.945173,24.838118,18.88289,21.51783,22.864428
282,25.91471,28.991013,38.994026,17.815655,22.617943,32.17495,21.881048,21.382849,29.09698
283,27.522552,36.45158,54.89858,21.428595,24.374039,35.8778,34.03426,23.638874,33.307777
284,26.643661,36.115406,54.15773,19.142157,23.383425,38.268333,33.109776,9.477119,26.349325
285,26.330065,32.706055,45.89146,15.156487,23.02063,29.829397,29.801682,22.087135,21.369467
286,26.268469,29.02047,36.630325,15.128161,23.458576,26.734938,25.222366,22.65756,21.074327
287,25.273045,27.700861,33.19619,15.612483,22.033073,26.017462,22.769442,22.259779,21.222862
288,23.848467,26.581944,30.966528,13.803561,20.081562,26.39076,21.027342,20.285921,18.792498
289,22.030836,21.31127,28.982962,14.06589,17.901577,22.67156,22.990501,16.999228,19.862988
290,21.537085,17.767319,28.87586,14.157548,17.340736,24.668852,23.11355,17.513186,20.886244
291,21.802013,18.042595,29.733135,15.561935,18.471935,25.802008,22.926794,16.553648,19.424417
292,21.720934,23.596916,31.545914,13.475976,16.8061,24.914145,23.396912,12.045473,18.033484
293,21.709396,27.446589,33.76335,11.827567,16.005388,25.35198,24.157995,15.138832,22.6392
294,22.861746,34.031006,40.65485,14.565928,17.008003,29.250303,23.796843,16.457716,24.90605
295,25.810083,40.493107,54.893574,21.564554,20.126371,40.074276,24.546095,18.574905,32.467133
