Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_6,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
t20,62.1,12.1212,0,0,0,3168,0,0,84.76,0,0,3939.397772,0,0,1885.572,0,528.4523455,7250.4,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1946.411737,1900.068601,16757.75818,0,0.003496125,0,41261.35948
t21,62.1,12.0744,0,0,0,3168,0,0,84.76,0,0,3464.199813,0,0,1885.572,0,528.4523455,7250.4,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1946.065817,1899.730916,16511.44183,0,0.003496125,0,40539.11477
t22,62.1,12.0744,0,0,0,3168,0,0,84.76,0,0,2668.576491,0,0,1885.572,0,528.4523455,7250.4,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1945.893943,1899.563135,16138.51881,0,0.003496125,0,39370.22877
t23,62.1,12.0276,0,0,0,3168,0,0,84.76,0,0,2122.308,0,0,1885.572,0,528.4523455,6505.949959,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1945.852267,1899.522451,15610.41583,0,0.003496125,0,37551.2781
t24,62.1,11.9808,0,0,0,3168,0,0,84.76,0,0,2122.308,0,0,1885.572,0,528.4523455,5428.692207,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1945.823133,1899.494011,14980.78459,0,0.003496125,0,35844.28473
t25,62.1,11.9808,0,0,0,3168,0,0,84.76,0,0,2122.308,0,0,1885.572,0,528.4523455,4055.618765,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1945.639574,1899.314822,14648.98354,0,0.003496125,0,34139.04749
t26,0,11.934,0,0,0,3168,0,0,84.76,0,0,2122.308,0,0,1885.572,0,528.4523455,3657.424,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1946.265224,1899.925576,14887.61476,0,0,0,33918.57006
t27,0,11.8872,0,0,0,3168,0,0,84.76,0,0,2122.308,0,0,1885.572,0,528.4523455,3657.424,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1946.176853,1899.839309,14342.1898,0,0,0,33372.92366
t28,0,11.8872,0,0,0,3168,0,0,84.76,0,0,2122.308,0,0,1885.572,0,528.4523455,3657.424,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1946.441559,1900.097712,14322.76103,0,0,0,33354.018
t29,62.1,11.8404,0,0,0,3168,0,0,84.76,0,0,2122.308,0,0,1885.572,0,528.4523455,3657.424,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1946.230622,1899.891798,14934.40946,0,0.003496125,0,34027.30627
