Delivery Date,Hour Ending,Price,Time_Index,Date,Year
01/02/2018,19:00,105.85,43,2018-01-02 18:00:00,2018
07/27/2018,15:00,104.89,4982,2018-07-27 13:00:00,2018
07/30/2018,17:00,104.52,5056,2018-07-30 15:00:00,2018
05/26/2018,18:00,104.31,3497,2018-05-26 16:00:00,2018
01/17/2018,10:00,103.33,394,2018-01-17 09:00:00,2018
08/02/2018,17:00,102.61,5128,2018-08-02 15:00:00,2018
06/27/2018,16:00,101.14,4263,2018-06-27 14:00:00,2018
01/03/2018,08:00,101.1,56,2018-01-03 07:00:00,2018
05/26/2018,15:00,100.71,3494,2018-05-26 13:00:00,2018
07/20/2018,14:00,100.41,4813,2018-07-20 12:00:00,2018
08/21/2018,15:00,100.29,5582,2018-08-21 13:00:00,2018
01/02/2018,10:00,99.89,34,2018-01-02 09:00:00,2018
06/21/2018,17:00,99.65,4120,2018-06-21 15:00:00,2018
08/29/2018,17:00,99.63,5776,2018-08-29 15:00:00,2018
07/18/2018,14:00,99.49,4765,2018-07-18 12:00:00,2018
08/22/2018,16:00,99.29,5607,2018-08-22 14:00:00,2018
08/20/2018,17:00,99.19,5560,2018-08-20 15:00:00,2018
08/20/2018,16:00,99.14,5559,2018-08-20 14:00:00,2018
07/18/2018,19:00,98.94,4770,2018-07-18 17:00:00,2018
07/28/2018,16:00,98.63,5007,2018-07-28 14:00:00,2018
01/17/2018,11:00,98.19,395,2018-01-17 10:00:00,2018
06/01/2018,16:00,97.92,3639,2018-06-01 14:00:00,2018
05/28/2018,17:00,97.86,3544,2018-05-28 15:00:00,2018
05/16/2018,14:00,97.82,3253,2018-05-16 12:00:00,2018
08/29/2018,16:00,96.14,5775,2018-08-29 14:00:00,2018
01/17/2018,19:00,95.39,403,2018-01-17 18:00:00,2018
06/05/2018,17:00,95.25,3736,2018-06-05 15:00:00,2018
10/06/2018,17:00,95.21,6688,2018-10-06 15:00:00,2018
05/15/2018,16:00,94.38,3231,2018-05-15 14:00:00,2018
05/31/2018,15:00,94.35,3614,2018-05-31 13:00:00,2018
07/25/2018,14:00,94.23,4933,2018-07-25 12:00:00,2018
06/05/2018,16:00,94.12,3735,2018-06-05 14:00:00,2018
06/01/2018,17:00,93.35,3640,2018-06-01 15:00:00,2018
07/19/2018,14:00,92.37,4789,2018-07-19 12:00:00,2018
01/18/2018,10:00,92.0,418,2018-01-18 09:00:00,2018
06/11/2018,17:00,91.64,3880,2018-06-11 15:00:00,2018
11/06/2018,18:00,90.74,7434,2018-11-06 17:00:00,2018
06/21/2018,16:00,90.52,4119,2018-06-21 14:00:00,2018
01/04/2018,07:00,90.48,79,2018-01-04 06:00:00,2018
08/24/2018,17:00,90.45,5656,2018-08-24 15:00:00,2018
07/29/2018,16:00,90.18,5031,2018-07-29 14:00:00,2018
05/23/2018,17:00,90.01,3424,2018-05-23 15:00:00,2018
07/27/2018,18:00,89.62,4985,2018-07-27 16:00:00,2018
05/17/2018,18:00,89.47,3281,2018-05-17 16:00:00,2018
08/01/2018,17:00,89.2,5104,2018-08-01 15:00:00,2018
09/17/2018,17:00,88.96,6232,2018-09-17 15:00:00,2018
07/02/2018,18:00,88.65,4385,2018-07-02 16:00:00,2018
05/27/2018,16:00,88.58,3519,2018-05-27 14:00:00,2018
05/24/2018,18:00,88.43,3449,2018-05-24 16:00:00,2018
05/17/2018,15:00,87.97,3278,2018-05-17 13:00:00,2018
05/27/2018,17:00,87.18,3520,2018-05-27 15:00:00,2018
08/30/2018,16:00,86.73,5799,2018-08-30 14:00:00,2018
07/29/2018,18:00,86.53,5033,2018-07-29 16:00:00,2018
10/06/2018,16:00,86.51,6687,2018-10-06 14:00:00,2018
05/18/2018,18:00,86.28,3305,2018-05-18 16:00:00,2018
08/01/2018,16:00,86.17,5103,2018-08-01 14:00:00,2018
08/17/2018,15:00,86.11,5486,2018-08-17 13:00:00,2018
08/08/2018,16:00,85.69,5271,2018-08-08 14:00:00,2018
08/25/2018,17:00,85.49,5680,2018-08-25 15:00:00,2018
07/02/2018,15:00,85.41,4382,2018-07-02 13:00:00,2018
05/30/2018,18:00,84.81,3593,2018-05-30 16:00:00,2018
08/23/2018,17:00,84.73,5632,2018-08-23 15:00:00,2018
01/16/2018,21:00,84.62,381,2018-01-16 20:00:00,2018
01/02/2018,18:00,84.11,42,2018-01-02 17:00:00,2018
09/17/2018,16:00,84.09,6231,2018-09-17 14:00:00,2018
06/22/2018,16:00,83.97,4143,2018-06-22 14:00:00,2018
08/07/2018,16:00,83.37,5247,2018-08-07 14:00:00,2018
05/29/2018,18:00,82.65,3569,2018-05-29 16:00:00,2018
08/08/2018,17:00,82.13,5272,2018-08-08 15:00:00,2018
05/15/2018,18:00,82.12,3233,2018-05-15 16:00:00,2018
05/21/2018,17:00,81.8,3376,2018-05-21 15:00:00,2018
08/16/2018,17:00,81.41,5464,2018-08-16 15:00:00,2018
