Day,2012Pearson daily,2013Pearson daily,2014Pearson daily,2015Pearson daily,2016Pearson daily,2017Pearson daily,2018Pearson daily,2019Pearson daily,2020Pearson daily,2021Pearson daily
27,,,,,,,,0.7783530373774925,,
27,,,,,,,,,0.7009706763190349,
27,,,,,,,,,,0.3507400912899093
28,0.7076746437668673,,,,,,,,,
28,,0.6629850960745651,,,,,,,,
28,,,0.6940924723653621,,,,,,,
28,,,,0.6277896584832119,,,,,,
28,,,,,0.4891119454191492,,,,,
28,,,,,,0.6992750864603576,,,,
28,,,,,,,0.6106420324159557,,,
28,,,,,,,,0.5516359269157186,,
28,,,,,,,,,0.6729944425432399,
28,,,,,,,,,,0.7011530769442389
29,0.7584308050052406,,,,,,,,,
29,,0.4041746556296987,,,,,,,,
29,,,0.7642215762172757,,,,,,,
29,,,,0.5091887772698839,,,,,,
29,,,,,0.5317824942220861,,,,,
29,,,,,,0.7744498265425637,,,,
29,,,,,,,0.6709826104632177,,,
29,,,,,,,,0.6778803114654728,,
29,,,,,,,,,0.20291582269883832,
29,,,,,,,,,,0.8072517398056991
30,0.688478757958263,,,,,,,,,
30,,0.46221618818265564,,,,,,,,
30,,,0.715145625324338,,,,,,,
30,,,,0.8343213862457752,,,,,,
30,,,,,0.798750243404597,,,,,
30,,,,,,0.696157927070067,,,,
30,,,,,,,0.4104873189305348,,,
30,,,,,,,,0.565767539703592,,
30,,,,,,,,,0.7377670297925936,
30,,,,,,,,,,0.7699551630295693
31,0.3863080462263672,,,,,,,,,
31,,0.4627045533834559,,,,,,,,
31,,,0.7881387133612657,,,,,,,
31,,,,0.7320031137031847,,,,,,
31,,,,,0.5903558825184401,,,,,
31,,,,,,0.6142170030985967,,,,
31,,,,,,,0.6819450769387165,,,
31,,,,,,,,0.7587739769657854,,
31,,,,,,,,,0.9236213818802815,
31,,,,,,,,,,0.6765603003341981
32,0.791270078237577,,,,,,,,,
32,,0.6557558167236748,,,,,,,,
32,,,0.8060358239998753,,,,,,,
32,,,,0.40017020812714915,,,,,,
32,,,,,0.7019551294322955,,,,,
32,,,,,,0.8551972542313134,,,,
32,,,,,,,0.35800387984724524,,,
32,,,,,,,,0.7177768426187987,,
32,,,,,,,,,0.39266849420804695,
32,,,,,,,,,,0.7149599607234923
33,0.8197411403113855,,,,,,,,,
33,,0.5320306788533186,,,,,,,,
33,,,0.5054164641636112,,,,,,,
33,,,,0.6315484120805603,,,,,,
33,,,,,0.5433215328016263,,,,,
33,,,,,,0.5605778848879659,,,,
33,,,,,,,0.8839222037724563,,,
33,,,,,,,,0.6968088217209367,,
33,,,,,,,,,0.8867809676147618,
33,,,,,,,,,,0.7604442005489263
34,0.7036880790955362,,,,,,,,,
34,,0.6305383280758109,,,,,,,,
34,,,0.6381116596908452,,,,,,,
34,,,,0.7063443940446725,,,,,,
34,,,,,0.42479539020238366,,,,,
34,,,,,,0.823023365737685,,,,
34,,,,,,,0.8301865250592299,,,
34,,,,,,,,0.5798614165698359,,
34,,,,,,,,,0.7899331372830679,
34,,,,,,,,,,0.8698994447892188
35,0.5613510014832361,,,,,,,,,
35,,0.7190439208374325,,,,,,,,
35,,,0.4536491134426695,,,,,,,
35,,,,0.3237595554052891,,,,,,
35,,,,,0.7789667393530356,,,,,
35,,,,,,0.7968130036398116,,,,
35,,,,,,,0.6539318461256376,,,
35,,,,,,,,0.8681322295745425,,
35,,,,,,,,,0.4427330649488863,
35,,,,,,,,,,0.5185761624297313
36,0.6416794745166485,,,,,,,,,
36,,0.561158966252804,,,,,,,,
36,,,0.6039224642354567,,,,,,,
36,,,,0.5440472011679449,,,,,,
36,,,,,0.6922211693815412,,,,,
36,,,,,,0.7717586501085452,,,,
36,,,,,,,0.6896383493974038,,,
36,,,,,,,,0.7563392592170395,,
36,,,,,,,,,0.7279226751947792,
36,,,,,,,,,,0.773296601991385
37,0.7353076109033917,,,,,,,,,
37,,0.6497666785516352,,,,,,,,
37,,,0.5362209660361325,,,,,,,
37,,,,0.6592336595423682,,,,,,
37,,,,,0.2872420877846589,,,,,
37,,,,,,0.5984110077702177,,,,
37,,,,,,,0.5085025730480623,,,
37,,,,,,,,0.8672307587542798,,
37,,,,,,,,,0.8804483083287753,
37,,,,,,,,,,0.5130045715900722
38,0.3971335998938714,,,,,,,,,
38,,0.8485075465190073,,,,,,,,
38,,,0.4442017436946585,,,,,,,
38,,,,0.48344955223802755,,,,,,
38,,,,,0.5430337469300073,,,,,
38,,,,,,0.5530826760520261,,,,
38,,,,,,,0.5684763337028649,,,
38,,,,,,,,0.21374329982996107,,
38,,,,,,,,,0.365656203195326,
38,,,,,,,,,,0.7242452423575187
39,0.6810988372977453,,,,,,,,,
39,,0.6937581075805312,,,,,,,,
39,,,0.6798411775434909,,,,,,,
39,,,,0.8227456170235677,,,,,,
39,,,,,0.3991032809541364,,,,,
39,,,,,,0.33352529802413966,,,,
39,,,,,,,0.7916056588272212,,,
39,,,,,,,,0.8471370254290185,,
39,,,,,,,,,0.8530769091366599,
39,,,,,,,,,,0.6173375658260526
40,0.7965468445414856,,,,,,,,,
40,,0.6573734369594791,,,,,,,,
40,,,0.7088769578742165,,,,,,,
40,,,,0.5158712996812934,,,,,,
40,,,,,0.5999349585868509,,,,,
40,,,,,,0.734972595404513,,,,
40,,,,,,,0.4173831337767727,,,
40,,,,,,,,0.5317805116576361,,
40,,,,,,,,,0.7967704131095443,
40,,,,,,,,,,0.61889538212628
41,0.7003835406233252,,,,,,,,,
41,,0.6564105110594897,,,,,,,,
41,,,0.5193035278240008,,,,,,,
41,,,,0.393454769066907,,,,,,
41,,,,,0.9220895480463048,,,,,
41,,,,,,0.9132982475778393,,,,
41,,,,,,,0.7036651769844143,,,
41,,,,,,,,0.390883503020972,,
41,,,,,,,,,0.36496254958273033,
41,,,,,,,,,,0.7483765504261404
42,0.20369748382254343,,,,,,,,,
42,,0.5270049695150558,,,,,,,,
42,,,0.6727286134287344,,,,,,,
42,,,,0.5196466333948839,,,,,,
42,,,,,0.3612022587177578,,,,,
42,,,,,,0.8724709784372313,,,,
42,,,,,,,0.5095637493116303,,,
42,,,,,,,,0.9106168617647605,,
42,,,,,,,,,0.6206609415854731,
42,,,,,,,,,,0.6151786337102771
43,0.7290153180237233,,,,,,,,,
43,,0.5290845187214382,,,,,,,,
43,,,0.7324021169248207,,,,,,,
43,,,,0.4165517038172076,,,,,,
43,,,,,0.5461552238921499,,,,,
43,,,,,,0.8811345746414362,,,,
43,,,,,,,0.5979900055097449,,,
43,,,,,,,,0.49827704397568995,,
43,,,,,,,,,0.5114640398185176,
43,,,,,,,,,,0.1995688916281765
44,0.7948784090109504,,,,,,,,,
44,,0.43826738093003537,,,,,,,,
44,,,0.8145619817620549,,,,,,,
44,,,,0.862745915323901,,,,,,
44,,,,,0.9148743292399716,,,,,
44,,,,,,0.6203408425018232,,,,
44,,,,,,,0.7370165767643535,,,
44,,,,,,,,0.7911785264269093,,
44,,,,,,,,,0.48042401937192725,
44,,,,,,,,,,0.23178207710300955
45,0.7797415604591018,,,,,,,,,
45,,0.5121201281990826,,,,,,,,
45,,,0.6376872088610436,,,,,,,
45,,,,0.6200563495202086,,,,,,
45,,,,,0.6253790869145753,,,,,
45,,,,,,0.3512371896931294,,,,
45,,,,,,,0.871511400521685,,,
45,,,,,,,,0.4648580560487541,,
45,,,,,,,,,0.6263995644265473,
45,,,,,,,,,,-0.5999011584418614
46,0.7785661397336987,,,,,,,,,
46,,0.6481342549564781,,,,,,,,
46,,,0.653922793329758,,,,,,,
46,,,,0.8403241187651171,,,,,,
46,,,,,0.5493495906048302,,,,,
46,,,,,,0.8345425472079073,,,,
46,,,,,,,0.4051328686770143,,,
46,,,,,,,,0.6848907931096089,,
46,,,,,,,,,0.5433371399268991,
46,,,,,,,,,,0.24090617635577793
47,0.467099792126623,,,,,,,,,
47,,0.7158514778225495,,,,,,,,
47,,,0.4926954003240579,,,,,,,
