Day,2012Spearman daily,2013Spearman daily,2014Spearman daily,2015Spearman daily,2016Spearman daily,2017Spearman daily,2018Spearman daily,2019Spearman daily,2020Spearman daily,2021Spearman daily
23,,,,,,,,,0.8811037232469406,
23,,,,,,,,,,0.8226962768258892
24,0.7929408116239359,,,,,,,,,
24,,0.6885442477975827,,,,,,,,
24,,,0.9424334072440903,,,,,,,
24,,,,0.6669209564605728,,,,,,
24,,,,,0.6779371410670642,,,,,
24,,,,,,0.7286788849744861,,,,
24,,,,,,,0.8707827725524867,,,
24,,,,,,,,0.870140532611688,,
24,,,,,,,,,0.8019885977762106,
24,,,,,,,,,,0.8400692400366281
25,0.9199623822762708,,,,,,,,,
25,,0.7163375209784112,,,,,,,,
25,,,0.8537776888426063,,,,,,,
25,,,,0.9391296620037045,,,,,,
25,,,,,0.6536483036192323,,,,,
25,,,,,,0.8559690641024534,,,,
25,,,,,,,0.9312046817201093,,,
25,,,,,,,,0.8584032777727317,,
25,,,,,,,,,0.7777602736497361,
25,,,,,,,,,,0.16721768126299968
26,0.8028561889251502,,,,,,,,,
26,,0.8339603485090097,,,,,,,,
26,,,0.6116517340717964,,,,,,,
26,,,,0.9387032693996574,,,,,,
26,,,,,0.9126408863402029,,,,,
26,,,,,,0.8783765028880445,,,,
26,,,,,,,0.48278260459593575,,,
26,,,,,,,,0.765858391869248,,
26,,,,,,,,,0.8388195727377602,
26,,,,,,,,,,0.6745430175322479
27,0.7827130621720454,,,,,,,,,
27,,0.724123653764588,,,,,,,,
27,,,0.7688291987028355,,,,,,,
27,,,,0.8628934489303496,,,,,,
27,,,,,0.8537433836307509,,,,,
27,,,,,,0.7841995918164139,,,,
27,,,,,,,0.9189030902116724,,,
27,,,,,,,,0.9593287594150879,,
27,,,,,,,,,0.8645616023245808,
27,,,,,,,,,,0.8034150958929719
28,0.8102818311253916,,,,,,,,,
28,,0.7013745447789229,,,,,,,,
28,,,0.8569357068653891,,,,,,,
28,,,,0.8143661459562485,,,,,,
28,,,,,0.6728585517660138,,,,,
28,,,,,,0.848876750374492,,,,
28,,,,,,,0.7701923866646696,,,
28,,,,,,,,0.7723008318794419,,
28,,,,,,,,,0.8675505660076953,
28,,,,,,,,,,0.7922199617143797
29,0.9120180153486046,,,,,,,,,
29,,0.6058460178784971,,,,,,,,
29,,,0.8806173977311292,,,,,,,
29,,,,0.868072227745549,,,,,,
29,,,,,0.572119482359708,,,,,
29,,,,,,0.8567713741847384,,,,
29,,,,,,,0.8875715206608799,,,
29,,,,,,,,0.9638282945163262,,
29,,,,,,,,,0.9138757175874083,
29,,,,,,,,,,0.9596797309922311
30,0.6870381862156806,,,,,,,,,
30,,0.9187279818220645,,,,,,,,
30,,,0.8364800423144995,,,,,,,
30,,,,0.8448695580428877,,,,,,
30,,,,,0.9621769055659244,,,,,
30,,,,,,0.7910623193490043,,,,
30,,,,,,,0.8747580645386901,,,
30,,,,,,,,0.6364580231121855,,
30,,,,,,,,,0.8667782636721838,
30,,,,,,,,,,0.8797612951889697
31,0.8786057501648146,,,,,,,,,
31,,0.6569780163612142,,,,,,,,
31,,,0.8218535199897885,,,,,,,
31,,,,0.6090746225378114,,,,,,
31,,,,,0.7825219078841608,,,,,
31,,,,,,0.8685661233978254,,,,
31,,,,,,,0.7052402154997508,,,
31,,,,,,,,0.8232443502373495,,
31,,,,,,,,,0.9613845431099595,
31,,,,,,,,,,0.8222275819884922
32,0.9029845016403215,,,,,,,,,
32,,0.8044972466086773,,,,,,,,
32,,,0.6742636982924353,,,,,,,
32,,,,0.8814201216103456,,,,,,
32,,,,,0.8772393347619517,,,,,
32,,,,,,0.8192203006331485,,,,
32,,,,,,,0.8004272861324989,,,
32,,,,,,,,0.890391756057086,,
32,,,,,,,,,0.7664106153601588,
32,,,,,,,,,,0.8299029960055144
33,0.872580159793758,,,,,,,,,
33,,0.6915362629350942,,,,,,,,
33,,,0.7435687399259502,,,,,,,
33,,,,0.9120462856380702,,,,,,
33,,,,,0.7876445459987625,,,,,
33,,,,,,0.8497830901187452,,,,
33,,,,,,,0.8999827703764829,,,
