Zone,Price,Date,Year
t4601,39.62779,2019-07-11 16:00:00,2019
t5056,39.61022,2019-07-30 15:00:00,2019
t7639,39.500069,2019-11-15 06:00:00,2019
t5438,39.4567,2019-08-15 13:00:00,2019
t5441,39.4567,2019-08-15 16:00:00,2019
t35,39.350128000000005,2019-01-02 10:00:00,2019
t1956,39.340930900032006,2019-03-23 11:00:00,2019
t4625,39.26767999999999,2019-07-12 16:00:00,2019
t5127,39.19451599999999,2019-08-02 14:00:00,2019
t5078,39.167775,2019-07-31 13:00:00,2019
t5080,39.167775,2019-07-31 15:00:00,2019
t4502,39.115498762875845,2019-07-07 13:00:00,2019
t5462,38.99614,2019-08-16 13:00:00,2019
t4622,38.98006,2019-07-12 13:00:00,2019
t4695,38.98006,2019-07-15 14:00:00,2019
t4071,38.92984,2019-06-19 14:00:00,2019
t6016,38.923480000000005,2019-09-08 15:00:00,2019
t6040,38.923480000000005,2019-09-09 15:00:00,2019
t4599,38.87055877361571,2019-07-11 14:00:00,2019
t538,38.75906926539244,2019-01-23 09:00:00,2019
t1499,38.702173,2019-03-04 10:00:00,2019
t4621,38.69244,2019-07-12 12:00:00,2019
t4626,38.69244,2019-07-12 17:00:00,2019
t4697,38.67974,2019-07-15 16:00:00,2019
t4768,38.65488911590954,2019-07-18 15:00:00,2019
t7279,38.532332,2019-10-31 06:00:00,2019
t1628,38.526415691307,2019-03-09 19:00:00,2019
t1498,38.5149321444445,2019-03-04 09:00:00,2019
t5559,38.47973999999999,2019-08-20 14:00:00,2019
t4577,38.46753731306416,2019-07-10 16:00:00,2019
t4574,38.46528930578612,2019-07-10 13:00:00,2019
t4573,38.46454,2019-07-10 12:00:00,2019
t40,38.460176,2019-01-02 15:00:00,2019
t41,38.460176,2019-01-02 16:00:00,2019
t34,38.460176,2019-01-02 09:00:00,2019
t33,38.460176,2019-01-02 08:00:00,2019
t46,38.46017599999999,2019-01-02 21:00:00,2019
t1511,38.44321622253761,2019-03-04 22:00:00,2019
t5607,38.43598,2019-08-22 14:00:00,2019
t6160,38.389,2019-09-14 15:00:00,2019
t47,38.35876800000001,2019-01-02 22:00:00,2019
t547,38.336962,2019-01-23 18:00:00,2019
t549,38.336962,2019-01-23 20:00:00,2019
t5965,38.304860000000005,2019-09-06 12:00:00,2019
t4598,38.23734,2019-07-11 13:00:00,2019
t6425,38.21198,2019-09-25 16:00:00,2019
t5943,38.16982,2019-09-05 14:00:00,2019
t32,38.11387615625,2019-01-02 07:00:00,2019
t5681,38.07125411689366,2019-08-25 16:00:00,2019
t5971,38.02414,2019-09-06 18:00:00,2019
t4602,38.01325,2019-07-11 17:00:00,2019
t4603,37.95858,2019-07-11 18:00:00,2019
t4597,37.95858,2019-07-11 12:00:00,2019
t7411,37.95532372913657,2019-11-05 18:00:00,2019
t7410,37.95458462266199,2019-11-05 17:00:00,2019
t7409,37.95384553096949,2019-11-05 16:00:00,2019
t7408,37.95310645405892,2019-11-05 15:00:00,2019
t7407,37.95236739192983,2019-11-05 14:00:00,2019
t7406,37.951628344582,2019-11-05 13:00:00,2019
t7405,37.95088931201511,2019-11-05 12:00:00,2019
t5942,37.94758,2019-09-05 13:00:00,2019
t5946,37.94758,2019-09-05 17:00:00,2019
t5201,37.9215,2019-08-05 16:00:00,2019
t5198,37.91928475430552,2019-08-05 13:00:00,2019
t5941,37.89302,2019-09-05 12:00:00,2019
t1512,37.827291,2019-03-04 23:00:00,2019
t1497,37.827291,2019-03-04 08:00:00,2019
t1496,37.827291,2019-03-04 07:00:00,2019
t1495,37.827291,2019-03-04 06:00:00,2019
t1500,37.827291,2019-03-04 11:00:00,2019
t1501,37.827291,2019-03-04 12:00:00,2019
t1506,37.827291,2019-03-04 17:00:00,2019
t1502,37.821027,2019-03-04 13:00:00,2019
t4744,37.81136,2019-07-17 15:00:00,2019
t6134,37.77068,2019-09-13 13:00:00,2019
t6183,37.77068,2019-09-15 14:00:00,2019
t1544,37.6777,2019-03-06 07:00:00,2019
t4073,37.62966,2019-06-19 16:00:00,2019
t6208,37.56065,2019-09-16 15:00:00,2019
t321,37.475620000000006,2019-01-14 08:00:00,2019
t550,37.470574,2019-01-23 21:00:00,2019
t5129,37.466188,2019-08-02 16:00:00,2019
t5126,37.46400007247914,2019-08-02 13:00:00,2019
t537,37.46109278855845,2019-01-23 08:00:00,2019
t536,37.46036356670268,2019-01-23 07:00:00,2019
t5368,37.445588,2019-08-12 15:00:00,2019
t5366,37.445588,2019-08-12 13:00:00,2019
t331,37.4371719505377,2019-01-14 18:00:00,2019
t5418,37.43414,2019-08-14 17:00:00,2019
t5415,37.43195399532068,2019-08-14 14:00:00,2019
t67,37.4174896306405,2019-01-03 18:00:00,2019
t348,37.40887192231499,2019-01-15 11:00:00,2019
t4550,37.386392999999984,2019-07-09 13:00:00,2019
t3785,37.37584,2019-06-07 16:00:00,2019
t583,37.33248999999999,2019-01-25 06:00:00,2019
t5054,37.29102,2019-07-30 13:00:00,2019
t5442,37.1479,2019-08-15 17:00:00,2019
t6137,37.079266254711285,2019-09-13 16:00:00,2019
t6158,37.07638,2019-09-14 13:00:00,2019
t6185,37.07638,2019-09-15 16:00:00,2019
t6182,37.07638,2019-09-15 13:00:00,2019
t6133,37.07638,2019-09-13 12:00:00,2019
t4840,37.07342,2019-07-21 15:00:00,2019
t4791,37.07342,2019-07-19 14:00:00,2019
t679,37.01749,2019-01-29 06:00:00,2019
t6423,37.01744,2019-09-25 14:00:00,2019
t4553,36.99497199999999,2019-07-09 16:00:00,2019
t1503,36.946984,2019-03-04 14:00:00,2019
t1505,36.946984,2019-03-04 16:00:00,2019
t31,36.92958,2019-01-02 06:00:00,2019
t5606,36.91354,2019-08-22 13:00:00,2019
t4049,36.90358883835404,2019-06-18 16:00:00,2019
t5103,36.87574,2019-08-01 14:00:00,2019
t6209,36.872836033951984,2019-09-16 16:00:00,2019
t6206,36.87068370683706,2019-09-16 13:00:00,2019
t6205,36.86996629316294,2019-09-16 12:00:00,2019
t5247,36.86846,2019-08-07 14:00:00,2019
t6422,36.80164,2019-09-25 13:00:00,2019
t3809,36.77824,2019-06-08 16:00:00,2019
t5895,36.75991000000001,2019-09-03 14:00:00,2019
t19,36.75714,2019-01-01 18:00:00,2019
t5464,36.71854,2019-08-16 15:00:00,2019
t6377,36.66427,2019-09-23 16:00:00,2019
t6373,36.66427,2019-09-23 12:00:00,2019
t6376,36.66427,2019-09-23 15:00:00,2019
t20,36.61856440243243,2019-01-01 19:00:00,2019
t4549,36.603551,2019-07-09 12:00:00,2019
t6230,36.59619,2019-09-17 13:00:00,2019
t585,36.52924,2019-01-25 08:00:00,2019
t5775,36.49624,2019-08-29 14:00:00,2019
t6615,36.478995235809904,2019-10-03 14:00:00,2019
t1528,36.46049000000001,2019-03-05 15:00:00,2019
t1529,36.46049000000001,2019-03-05 16:00:00,2019
t1536,36.46049000000001,2019-03-05 23:00:00,2019
t1527,36.46049000000001,2019-03-05 14:00:00,2019
t738,36.440221,2019-01-31 17:00:00,2019
t4024,36.42688,2019-06-17 15:00:00,2019
t466,36.41606246317094,2019-01-20 09:00:00,2019
t5582,36.4143,2019-08-21 13:00:00,2019
