Price,Date,Year
996.93,2021-06-15 13:00:00,2021
992.44,2015-08-11 15:00:00,2015
988.43,2021-02-13 06:00:00,2021
985.85,2014-03-04 08:00:00,2014
960.83,2019-09-25 15:00:00,2019
952.65,2015-08-07 15:00:00,2015
949.11,2019-08-12 15:00:00,2019
949.1,2019-08-12 14:00:00,2019
930.56,2019-08-14 13:00:00,2019
913.42,2018-07-25 15:00:00,2018
910.57,2021-02-13 22:00:00,2021
909.13,2018-07-19 16:00:00,2018
879.36,2021-02-19 16:00:00,2021
873.46,2012-08-01 14:00:00,2012
857.58,2019-08-13 12:00:00,2019
851.45,2019-10-02 15:00:00,2019
840.9,2018-07-17 15:00:00,2018
807.23,2021-02-13 23:00:00,2021
802.73,2019-08-15 13:00:00,2019
800.28,2019-08-07 15:00:00,2019
787.94,2014-03-03 07:00:00,2014
780.44,2019-08-16 12:00:00,2019
774.02,2015-08-10 16:00:00,2015
772.3,2018-07-26 15:00:00,2018
747.34,2020-08-13 15:00:00,2020
746.05,2020-08-14 13:00:00,2020
745.84,2014-03-03 06:00:00,2014
734.74,2019-08-19 13:00:00,2019
723.05,2020-08-13 14:00:00,2020
718.59,2018-07-20 14:00:00,2018
700.7,2012-06-26 16:00:00,2012
699.63,2018-07-23 13:00:00,2018
699.11,2019-08-17 15:00:00,2019
697.29,2015-08-11 14:00:00,2015
694.84,2018-07-24 15:00:00,2018
693.15,2019-08-21 16:00:00,2019
675.6,2019-03-05 06:00:00,2019
664.75,2019-09-04 15:00:00,2019
654.8,2019-08-14 16:00:00,2019
644.22,2015-08-07 14:00:00,2015
643.74,2020-08-15 14:00:00,2020
642.58,2020-08-15 15:00:00,2020
628.81,2021-02-13 05:00:00,2021
615.77,2020-08-14 16:00:00,2020
612.4,2012-06-25 15:00:00,2012
595.7,2018-07-25 14:00:00,2018
580.17,2015-08-13 15:00:00,2015
570.2,2019-03-05 07:00:00,2019
558.89,2019-09-04 14:00:00,2019
553.75,2019-08-18 15:00:00,2019
552.89,2019-10-02 14:00:00,2019
552.01,2012-04-27 15:00:00,2012
550.68,2018-07-17 16:00:00,2018
550.25,2019-10-03 15:00:00,2019
544.92,2018-07-21 13:00:00,2018
543.21,2018-07-17 14:00:00,2018
541.31,2018-05-16 15:00:00,2018
540.74,2019-08-20 16:00:00,2019
532.89,2015-08-14 15:00:00,2015
530.96,2018-01-17 08:00:00,2018
524.23,2019-09-03 15:00:00,2019
522.23,2013-06-28 15:00:00,2013
521.03,2015-08-14 14:00:00,2015
