NG,Time_Index,coal,Date,None,uranium
3.319,143,3.05075594,2017-01-06 22:00:00,0.0,0.705536
3.319,144,3.05075594,2017-01-06 23:00:00,0.0,0.705536
3.319,145,3.05075594,2017-01-07 00:00:00,0.0,0.705536
3.319,146,3.05075594,2017-01-07 01:00:00,0.0,0.705536
3.319,147,3.05075594,2017-01-07 02:00:00,0.0,0.705536
3.319,148,3.05075594,2017-01-07 03:00:00,0.0,0.705536
3.319,149,3.05075594,2017-01-07 04:00:00,0.0,0.705536
3.319,150,3.05075594,2017-01-07 05:00:00,0.0,0.705536
3.319,151,3.05075594,2017-01-07 06:00:00,0.0,0.705536
3.319,152,3.05075594,2017-01-07 07:00:00,0.0,0.705536
3.319,153,3.05075594,2017-01-07 08:00:00,0.0,0.705536
3.319,154,3.05075594,2017-01-07 09:00:00,0.0,0.705536
3.319,155,3.05075594,2017-01-07 10:00:00,0.0,0.705536
3.319,156,3.05075594,2017-01-07 11:00:00,0.0,0.705536
3.319,157,3.05075594,2017-01-07 12:00:00,0.0,0.705536
3.319,158,3.05075594,2017-01-07 13:00:00,0.0,0.705536
3.319,159,3.05075594,2017-01-07 14:00:00,0.0,0.705536
3.319,160,3.05075594,2017-01-07 15:00:00,0.0,0.705536
3.319,161,3.05075594,2017-01-07 16:00:00,0.0,0.705536
3.319,162,3.05075594,2017-01-07 17:00:00,0.0,0.705536
3.319,163,3.05075594,2017-01-07 18:00:00,0.0,0.705536
3.319,164,3.05075594,2017-01-07 19:00:00,0.0,0.705536
3.319,165,3.05075594,2017-01-07 20:00:00,0.0,0.705536
3.319,166,3.05075594,2017-01-07 21:00:00,0.0,0.705536
3.319,167,3.05075594,2017-01-07 22:00:00,0.0,0.705536
3.319,168,3.05075594,2017-01-07 23:00:00,0.0,0.705536
3.319,169,3.05075594,2017-01-08 00:00:00,0.0,0.705536
3.319,170,3.05075594,2017-01-08 01:00:00,0.0,0.705536
3.319,171,3.05075594,2017-01-08 02:00:00,0.0,0.705536
3.319,172,3.05075594,2017-01-08 03:00:00,0.0,0.705536
3.319,173,3.05075594,2017-01-08 04:00:00,0.0,0.705536
3.319,174,3.05075594,2017-01-08 05:00:00,0.0,0.705536
3.319,175,3.05075594,2017-01-08 06:00:00,0.0,0.705536
3.319,176,3.05075594,2017-01-08 07:00:00,0.0,0.705536
3.319,177,3.05075594,2017-01-08 08:00:00,0.0,0.705536
3.319,178,3.05075594,2017-01-08 09:00:00,0.0,0.705536
3.319,179,3.05075594,2017-01-08 10:00:00,0.0,0.705536
3.319,180,3.05075594,2017-01-08 11:00:00,0.0,0.705536
3.319,181,3.05075594,2017-01-08 12:00:00,0.0,0.705536
3.319,182,3.05075594,2017-01-08 13:00:00,0.0,0.705536
3.319,183,3.05075594,2017-01-08 14:00:00,0.0,0.705536
3.319,184,3.05075594,2017-01-08 15:00:00,0.0,0.705536
3.319,185,3.05075594,2017-01-08 16:00:00,0.0,0.705536
3.319,186,3.05075594,2017-01-08 17:00:00,0.0,0.705536
3.319,187,3.05075594,2017-01-08 18:00:00,0.0,0.705536
3.319,188,3.05075594,2017-01-08 19:00:00,0.0,0.705536
3.319,189,3.05075594,2017-01-08 20:00:00,0.0,0.705536
3.319,190,3.05075594,2017-01-08 21:00:00,0.0,0.705536
3.319,191,3.05075594,2017-01-08 22:00:00,0.0,0.705536
3.319,192,3.05075594,2017-01-08 23:00:00,0.0,0.705536
3.378,193,3.025557955,2017-01-09 00:00:00,0.0,0.705536
3.378,194,3.025557955,2017-01-09 01:00:00,0.0,0.705536
3.378,195,3.025557955,2017-01-09 02:00:00,0.0,0.705536
3.378,196,3.025557955,2017-01-09 03:00:00,0.0,0.705536
3.378,197,3.025557955,2017-01-09 04:00:00,0.0,0.705536
3.378,198,3.025557955,2017-01-09 05:00:00,0.0,0.705536
3.378,199,3.025557955,2017-01-09 06:00:00,0.0,0.705536
3.378,200,3.025557955,2017-01-09 07:00:00,0.0,0.705536
3.378,201,3.025557955,2017-01-09 08:00:00,0.0,0.705536
3.378,202,3.025557955,2017-01-09 09:00:00,0.0,0.705536
3.378,203,3.025557955,2017-01-09 10:00:00,0.0,0.705536
3.378,204,3.025557955,2017-01-09 11:00:00,0.0,0.705536
3.378,205,3.025557955,2017-01-09 12:00:00,0.0,0.705536
3.378,206,3.025557955,2017-01-09 13:00:00,0.0,0.705536
3.378,207,3.025557955,2017-01-09 14:00:00,0.0,0.705536
3.378,208,3.025557955,2017-01-09 15:00:00,0.0,0.705536
3.378,209,3.025557955,2017-01-09 16:00:00,0.0,0.705536
3.378,210,3.025557955,2017-01-09 17:00:00,0.0,0.705536
3.378,211,3.025557955,2017-01-09 18:00:00,0.0,0.705536
3.378,212,3.025557955,2017-01-09 19:00:00,0.0,0.705536
3.378,213,3.025557955,2017-01-09 20:00:00,0.0,0.705536
3.378,214,3.025557955,2017-01-09 21:00:00,0.0,0.705536
3.378,215,3.025557955,2017-01-09 22:00:00,0.0,0.705536
3.378,216,3.025557955,2017-01-09 23:00:00,0.0,0.705536
3.143,217,3.110151188,2017-01-10 00:00:00,0.0,0.705536
3.143,218,3.110151188,2017-01-10 01:00:00,0.0,0.705536
3.143,219,3.110151188,2017-01-10 02:00:00,0.0,0.705536
3.143,220,3.110151188,2017-01-10 03:00:00,0.0,0.705536
3.143,221,3.110151188,2017-01-10 04:00:00,0.0,0.705536
3.143,222,3.110151188,2017-01-10 05:00:00,0.0,0.705536
3.143,223,3.110151188,2017-01-10 06:00:00,0.0,0.705536
3.143,224,3.110151188,2017-01-10 07:00:00,0.0,0.705536
3.143,225,3.110151188,2017-01-10 08:00:00,0.0,0.705536
3.143,226,3.110151188,2017-01-10 09:00:00,0.0,0.705536
3.143,227,3.110151188,2017-01-10 10:00:00,0.0,0.705536
3.143,228,3.110151188,2017-01-10 11:00:00,0.0,0.705536
3.143,229,3.110151188,2017-01-10 12:00:00,0.0,0.705536
3.143,230,3.110151188,2017-01-10 13:00:00,0.0,0.705536
3.143,231,3.110151188,2017-01-10 14:00:00,0.0,0.705536
3.143,232,3.110151188,2017-01-10 15:00:00,0.0,0.705536
3.143,233,3.110151188,2017-01-10 16:00:00,0.0,0.705536
3.143,234,3.110151188,2017-01-10 17:00:00,0.0,0.705536
3.143,235,3.110151188,2017-01-10 18:00:00,0.0,0.705536
3.143,236,3.110151188,2017-01-10 19:00:00,0.0,0.705536
3.143,237,3.110151188,2017-01-10 20:00:00,0.0,0.705536
3.143,238,3.110151188,2017-01-10 21:00:00,0.0,0.705536
3.143,239,3.110151188,2017-01-10 22:00:00,0.0,0.705536
3.143,240,3.110151188,2017-01-10 23:00:00,0.0,0.705536
3.207,241,3.192944564,2017-01-11 00:00:00,0.0,0.705536
3.207,242,3.192944564,2017-01-11 01:00:00,0.0,0.705536
3.207,243,3.192944564,2017-01-11 02:00:00,0.0,0.705536
3.207,244,3.192944564,2017-01-11 03:00:00,0.0,0.705536
3.207,245,3.192944564,2017-01-11 04:00:00,0.0,0.705536
3.207,246,3.192944564,2017-01-11 05:00:00,0.0,0.705536
3.207,247,3.192944564,2017-01-11 06:00:00,0.0,0.705536
3.207,248,3.192944564,2017-01-11 07:00:00,0.0,0.705536
3.207,249,3.192944564,2017-01-11 08:00:00,0.0,0.705536
3.207,250,3.192944564,2017-01-11 09:00:00,0.0,0.705536
3.207,251,3.192944564,2017-01-11 10:00:00,0.0,0.705536
3.207,252,3.192944564,2017-01-11 11:00:00,0.0,0.705536
3.207,253,3.192944564,2017-01-11 12:00:00,0.0,0.705536
3.207,254,3.192944564,2017-01-11 13:00:00,0.0,0.705536
3.207,255,3.192944564,2017-01-11 14:00:00,0.0,0.705536
3.207,256,3.192944564,2017-01-11 15:00:00,0.0,0.705536
3.207,257,3.192944564,2017-01-11 16:00:00,0.0,0.705536
3.207,258,3.192944564,2017-01-11 17:00:00,0.0,0.705536
3.207,259,3.192944564,2017-01-11 18:00:00,0.0,0.705536
3.207,260,3.192944564,2017-01-11 19:00:00,0.0,0.705536
3.207,261,3.192944564,2017-01-11 20:00:00,0.0,0.705536
3.207,262,3.192944564,2017-01-11 21:00:00,0.0,0.705536
3.207,263,3.192944564,2017-01-11 22:00:00,0.0,0.705536
3.207,264,3.192944564,2017-01-11 23:00:00,0.0,0.705536
3.272,265,3.189344852,2017-01-12 00:00:00,0.0,0.705536
3.272,266,3.189344852,2017-01-12 01:00:00,0.0,0.705536
3.272,267,3.189344852,2017-01-12 02:00:00,0.0,0.705536
3.272,268,3.189344852,2017-01-12 03:00:00,0.0,0.705536
3.272,269,3.189344852,2017-01-12 04:00:00,0.0,0.705536
3.272,270,3.189344852,2017-01-12 05:00:00,0.0,0.705536
3.272,271,3.189344852,2017-01-12 06:00:00,0.0,0.705536
3.272,272,3.189344852,2017-01-12 07:00:00,0.0,0.705536
3.272,273,3.189344852,2017-01-12 08:00:00,0.0,0.705536
3.272,274,3.189344852,2017-01-12 09:00:00,0.0,0.705536
3.272,275,3.189344852,2017-01-12 10:00:00,0.0,0.705536
3.272,276,3.189344852,2017-01-12 11:00:00,0.0,0.705536
3.272,277,3.189344852,2017-01-12 12:00:00,0.0,0.705536
3.272,278,3.189344852,2017-01-12 13:00:00,0.0,0.705536
3.272,279,3.189344852,2017-01-12 14:00:00,0.0,0.705536
3.272,280,3.189344852,2017-01-12 15:00:00,0.0,0.705536
3.272,281,3.189344852,2017-01-12 16:00:00,0.0,0.705536
3.272,282,3.189344852,2017-01-12 17:00:00,0.0,0.705536
3.272,283,3.189344852,2017-01-12 18:00:00,0.0,0.705536
3.272,284,3.189344852,2017-01-12 19:00:00,0.0,0.705536
3.272,285,3.189344852,2017-01-12 20:00:00,0.0,0.705536
3.272,286,3.189344852,2017-01-12 21:00:00,0.0,0.705536
3.272,287,3.189344852,2017-01-12 22:00:00,0.0,0.705536
3.272,288,3.189344852,2017-01-12 23:00:00,0.0,0.705536
3.363,289,3.174946004,2017-01-13 00:00:00,0.0,0.705536
3.363,290,3.174946004,2017-01-13 01:00:00,0.0,0.705536
3.363,291,3.174946004,2017-01-13 02:00:00,0.0,0.705536
3.363,292,3.174946004,2017-01-13 03:00:00,0.0,0.705536
3.363,293,3.174946004,2017-01-13 04:00:00,0.0,0.705536
3.363,294,3.174946004,2017-01-13 05:00:00,0.0,0.705536
3.363,295,3.174946004,2017-01-13 06:00:00,0.0,0.705536
3.363,296,3.174946004,2017-01-13 07:00:00,0.0,0.705536
3.363,297,3.174946004,2017-01-13 08:00:00,0.0,0.705536
3.363,298,3.174946004,2017-01-13 09:00:00,0.0,0.705536
3.363,299,3.174946004,2017-01-13 10:00:00,0.0,0.705536
3.363,300,3.174946004,2017-01-13 11:00:00,0.0,0.705536
3.363,301,3.174946004,2017-01-13 12:00:00,0.0,0.705536
3.363,302,3.174946004,2017-01-13 13:00:00,0.0,0.705536
3.363,303,3.174946004,2017-01-13 14:00:00,0.0,0.705536
3.363,304,3.174946004,2017-01-13 15:00:00,0.0,0.705536
3.363,305,3.174946004,2017-01-13 16:00:00,0.0,0.705536
3.363,306,3.174946004,2017-01-13 17:00:00,0.0,0.705536
3.363,307,3.174946004,2017-01-13 18:00:00,0.0,0.705536
3.363,308,3.174946004,2017-01-13 19:00:00,0.0,0.705536
3.363,309,3.174946004,2017-01-13 20:00:00,0.0,0.705536
3.363,310,3.174946004,2017-01-13 21:00:00,0.0,0.705536
3.363,311,3.174946004,2017-01-13 22:00:00,0.0,0.705536
3.363,312,3.174946004,2017-01-13 23:00:00,0.0,0.705536
3.363,313,3.174946004,2017-01-14 00:00:00,0.0,0.705536
3.363,314,3.174946004,2017-01-14 01:00:00,0.0,0.705536
3.363,315,3.174946004,2017-01-14 02:00:00,0.0,0.705536
3.363,316,3.174946004,2017-01-14 03:00:00,0.0,0.705536
3.363,317,3.174946004,2017-01-14 04:00:00,0.0,0.705536
3.363,318,3.174946004,2017-01-14 05:00:00,0.0,0.705536
3.363,319,3.174946004,2017-01-14 06:00:00,0.0,0.705536
3.363,320,3.174946004,2017-01-14 07:00:00,0.0,0.705536
3.363,321,3.174946004,2017-01-14 08:00:00,0.0,0.705536
3.363,322,3.174946004,2017-01-14 09:00:00,0.0,0.705536
3.363,323,3.174946004,2017-01-14 10:00:00,0.0,0.705536
3.363,324,3.174946004,2017-01-14 11:00:00,0.0,0.705536
3.363,325,3.174946004,2017-01-14 12:00:00,0.0,0.705536
3.363,326,3.174946004,2017-01-14 13:00:00,0.0,0.705536
3.363,327,3.174946004,2017-01-14 14:00:00,0.0,0.705536
3.363,328,3.174946004,2017-01-14 15:00:00,0.0,0.705536
3.363,329,3.174946004,2017-01-14 16:00:00,0.0,0.705536
3.363,330,3.174946004,2017-01-14 17:00:00,0.0,0.705536
3.363,331,3.174946004,2017-01-14 18:00:00,0.0,0.705536
3.363,332,3.174946004,2017-01-14 19:00:00,0.0,0.705536
3.363,333,3.174946004,2017-01-14 20:00:00,0.0,0.705536
3.363,334,3.174946004,2017-01-14 21:00:00,0.0,0.705536
3.363,335,3.174946004,2017-01-14 22:00:00,0.0,0.705536
3.363,336,3.174946004,2017-01-14 23:00:00,0.0,0.705536
3.363,337,3.174946004,2017-01-15 00:00:00,0.0,0.705536
3.363,338,3.174946004,2017-01-15 01:00:00,0.0,0.705536
3.363,339,3.174946004,2017-01-15 02:00:00,0.0,0.705536
3.363,340,3.174946004,2017-01-15 03:00:00,0.0,0.705536
3.363,341,3.174946004,2017-01-15 04:00:00,0.0,0.705536
3.363,342,3.174946004,2017-01-15 05:00:00,0.0,0.705536
3.363,343,3.174946004,2017-01-15 06:00:00,0.0,0.705536
3.363,344,3.174946004,2017-01-15 07:00:00,0.0,0.705536
3.363,345,3.174946004,2017-01-15 08:00:00,0.0,0.705536
3.363,346,3.174946004,2017-01-15 09:00:00,0.0,0.705536
3.363,347,3.174946004,2017-01-15 10:00:00,0.0,0.705536
3.363,348,3.174946004,2017-01-15 11:00:00,0.0,0.705536
3.363,349,3.174946004,2017-01-15 12:00:00,0.0,0.705536
3.363,350,3.174946004,2017-01-15 13:00:00,0.0,0.705536
3.363,351,3.174946004,2017-01-15 14:00:00,0.0,0.705536
3.363,352,3.174946004,2017-01-15 15:00:00,0.0,0.705536
3.363,353,3.174946004,2017-01-15 16:00:00,0.0,0.705536
3.363,354,3.174946004,2017-01-15 17:00:00,0.0,0.705536
3.363,355,3.174946004,2017-01-15 18:00:00,0.0,0.705536
3.363,356,3.174946004,2017-01-15 19:00:00,0.0,0.705536
3.363,357,3.174946004,2017-01-15 20:00:00,0.0,0.705536
3.363,358,3.174946004,2017-01-15 21:00:00,0.0,0.705536
3.363,359,3.174946004,2017-01-15 22:00:00,0.0,0.705536
3.363,360,3.174946004,2017-01-15 23:00:00,0.0,0.705536
3.363,361,3.169546436,2017-01-16 00:00:00,0.0,0.705536
3.363,362,3.169546436,2017-01-16 01:00:00,0.0,0.705536
3.363,363,3.169546436,2017-01-16 02:00:00,0.0,0.705536
3.363,364,3.169546436,2017-01-16 03:00:00,0.0,0.705536
3.363,365,3.169546436,2017-01-16 04:00:00,0.0,0.705536
3.363,366,3.169546436,2017-01-16 05:00:00,0.0,0.705536
3.363,367,3.169546436,2017-01-16 06:00:00,0.0,0.705536
3.363,368,3.169546436,2017-01-16 07:00:00,0.0,0.705536
3.363,369,3.169546436,2017-01-16 08:00:00,0.0,0.705536
3.363,370,3.169546436,2017-01-16 09:00:00,0.0,0.705536
3.363,371,3.169546436,2017-01-16 10:00:00,0.0,0.705536
3.363,372,3.169546436,2017-01-16 11:00:00,0.0,0.705536
3.363,373,3.169546436,2017-01-16 12:00:00,0.0,0.705536
3.363,374,3.169546436,2017-01-16 13:00:00,0.0,0.705536
3.363,375,3.169546436,2017-01-16 14:00:00,0.0,0.705536
3.363,376,3.169546436,2017-01-16 15:00:00,0.0,0.705536
3.363,377,3.169546436,2017-01-16 16:00:00,0.0,0.705536
3.363,378,3.169546436,2017-01-16 17:00:00,0.0,0.705536
3.363,379,3.169546436,2017-01-16 18:00:00,0.0,0.705536
3.363,380,3.169546436,2017-01-16 19:00:00,0.0,0.705536
3.363,381,3.169546436,2017-01-16 20:00:00,0.0,0.705536
3.363,382,3.169546436,2017-01-16 21:00:00,0.0,0.705536
3.363,383,3.169546436,2017-01-16 22:00:00,0.0,0.705536
3.363,384,3.169546436,2017-01-16 23:00:00,0.0,0.705536
3.361,385,3.232541397,2017-01-17 00:00:00,0.0,0.705536
3.361,386,3.232541397,2017-01-17 01:00:00,0.0,0.705536
3.361,387,3.232541397,2017-01-17 02:00:00,0.0,0.705536
3.361,388,3.232541397,2017-01-17 03:00:00,0.0,0.705536
3.361,389,3.232541397,2017-01-17 04:00:00,0.0,0.705536
3.361,390,3.232541397,2017-01-17 05:00:00,0.0,0.705536
3.361,391,3.232541397,2017-01-17 06:00:00,0.0,0.705536
3.361,392,3.232541397,2017-01-17 07:00:00,0.0,0.705536
3.361,393,3.232541397,2017-01-17 08:00:00,0.0,0.705536
3.361,394,3.232541397,2017-01-17 09:00:00,0.0,0.705536
3.361,395,3.232541397,2017-01-17 10:00:00,0.0,0.705536
3.361,396,3.232541397,2017-01-17 11:00:00,0.0,0.705536
3.361,397,3.232541397,2017-01-17 12:00:00,0.0,0.705536
3.361,398,3.232541397,2017-01-17 13:00:00,0.0,0.705536
3.361,399,3.232541397,2017-01-17 14:00:00,0.0,0.705536
3.361,400,3.232541397,2017-01-17 15:00:00,0.0,0.705536
3.361,401,3.232541397,2017-01-17 16:00:00,0.0,0.705536
3.361,402,3.232541397,2017-01-17 17:00:00,0.0,0.705536
3.361,403,3.232541397,2017-01-17 18:00:00,0.0,0.705536
3.361,404,3.232541397,2017-01-17 19:00:00,0.0,0.705536
3.361,405,3.232541397,2017-01-17 20:00:00,0.0,0.705536
3.361,406,3.232541397,2017-01-17 21:00:00,0.0,0.705536
3.361,407,3.232541397,2017-01-17 22:00:00,0.0,0.705536
3.361,408,3.232541397,2017-01-17 23:00:00,0.0,0.705536
3.367,409,3.237940965,2017-01-18 00:00:00,0.0,0.705536
