NG,Time_Index,coal,Date,None,uranium
2.905,132,3.966882649,2012-01-06 11:00:00,0.0,0.705536
2.905,133,3.966882649,2012-01-06 12:00:00,0.0,0.705536
2.905,134,3.966882649,2012-01-06 13:00:00,0.0,0.705536
2.905,135,3.966882649,2012-01-06 14:00:00,0.0,0.705536
2.905,136,3.966882649,2012-01-06 15:00:00,0.0,0.705536
2.905,137,3.966882649,2012-01-06 16:00:00,0.0,0.705536
2.905,138,3.966882649,2012-01-06 17:00:00,0.0,0.705536
2.905,139,3.966882649,2012-01-06 18:00:00,0.0,0.705536
2.905,140,3.966882649,2012-01-06 19:00:00,0.0,0.705536
2.905,141,3.966882649,2012-01-06 20:00:00,0.0,0.705536
2.905,142,3.966882649,2012-01-06 21:00:00,0.0,0.705536
2.905,143,3.966882649,2012-01-06 22:00:00,0.0,0.705536
2.905,144,3.966882649,2012-01-06 23:00:00,0.0,0.705536
2.905,145,3.966882649,2012-01-07 00:00:00,0.0,0.705536
2.905,146,3.966882649,2012-01-07 01:00:00,0.0,0.705536
2.905,147,3.966882649,2012-01-07 02:00:00,0.0,0.705536
2.905,148,3.966882649,2012-01-07 03:00:00,0.0,0.705536
2.905,149,3.966882649,2012-01-07 04:00:00,0.0,0.705536
2.905,150,3.966882649,2012-01-07 05:00:00,0.0,0.705536
2.905,151,3.966882649,2012-01-07 06:00:00,0.0,0.705536
2.905,152,3.966882649,2012-01-07 07:00:00,0.0,0.705536
2.905,153,3.966882649,2012-01-07 08:00:00,0.0,0.705536
2.905,154,3.966882649,2012-01-07 09:00:00,0.0,0.705536
2.905,155,3.966882649,2012-01-07 10:00:00,0.0,0.705536
2.905,156,3.966882649,2012-01-07 11:00:00,0.0,0.705536
2.905,157,3.966882649,2012-01-07 12:00:00,0.0,0.705536
2.905,158,3.966882649,2012-01-07 13:00:00,0.0,0.705536
2.905,159,3.966882649,2012-01-07 14:00:00,0.0,0.705536
2.905,160,3.966882649,2012-01-07 15:00:00,0.0,0.705536
2.905,161,3.966882649,2012-01-07 16:00:00,0.0,0.705536
2.905,162,3.966882649,2012-01-07 17:00:00,0.0,0.705536
2.905,163,3.966882649,2012-01-07 18:00:00,0.0,0.705536
2.905,164,3.966882649,2012-01-07 19:00:00,0.0,0.705536
2.905,165,3.966882649,2012-01-07 20:00:00,0.0,0.705536
2.905,166,3.966882649,2012-01-07 21:00:00,0.0,0.705536
2.905,167,3.966882649,2012-01-07 22:00:00,0.0,0.705536
2.905,168,3.966882649,2012-01-07 23:00:00,0.0,0.705536
2.905,169,3.966882649,2012-01-08 00:00:00,0.0,0.705536
2.905,170,3.966882649,2012-01-08 01:00:00,0.0,0.705536
2.905,171,3.966882649,2012-01-08 02:00:00,0.0,0.705536
2.905,172,3.966882649,2012-01-08 03:00:00,0.0,0.705536
2.905,173,3.966882649,2012-01-08 04:00:00,0.0,0.705536
2.905,174,3.966882649,2012-01-08 05:00:00,0.0,0.705536
2.905,175,3.966882649,2012-01-08 06:00:00,0.0,0.705536
2.905,176,3.966882649,2012-01-08 07:00:00,0.0,0.705536
2.905,177,3.966882649,2012-01-08 08:00:00,0.0,0.705536
2.905,178,3.966882649,2012-01-08 09:00:00,0.0,0.705536
2.905,179,3.966882649,2012-01-08 10:00:00,0.0,0.705536
2.905,180,3.966882649,2012-01-08 11:00:00,0.0,0.705536
2.905,181,3.966882649,2012-01-08 12:00:00,0.0,0.705536
2.905,182,3.966882649,2012-01-08 13:00:00,0.0,0.705536
2.905,183,3.966882649,2012-01-08 14:00:00,0.0,0.705536
2.905,184,3.966882649,2012-01-08 15:00:00,0.0,0.705536
2.905,185,3.966882649,2012-01-08 16:00:00,0.0,0.705536
2.905,186,3.966882649,2012-01-08 17:00:00,0.0,0.705536
2.905,187,3.966882649,2012-01-08 18:00:00,0.0,0.705536
2.905,188,3.966882649,2012-01-08 19:00:00,0.0,0.705536
2.905,189,3.966882649,2012-01-08 20:00:00,0.0,0.705536
2.905,190,3.966882649,2012-01-08 21:00:00,0.0,0.705536
2.905,191,3.966882649,2012-01-08 22:00:00,0.0,0.705536
2.905,192,3.966882649,2012-01-08 23:00:00,0.0,0.705536
2.883,193,3.936285097,2012-01-09 00:00:00,0.0,0.705536
2.883,194,3.936285097,2012-01-09 01:00:00,0.0,0.705536
2.883,195,3.936285097,2012-01-09 02:00:00,0.0,0.705536
2.883,196,3.936285097,2012-01-09 03:00:00,0.0,0.705536
2.883,197,3.936285097,2012-01-09 04:00:00,0.0,0.705536
2.883,198,3.936285097,2012-01-09 05:00:00,0.0,0.705536
2.883,199,3.936285097,2012-01-09 06:00:00,0.0,0.705536
2.883,200,3.936285097,2012-01-09 07:00:00,0.0,0.705536
2.883,201,3.936285097,2012-01-09 08:00:00,0.0,0.705536
2.883,202,3.936285097,2012-01-09 09:00:00,0.0,0.705536
2.883,203,3.936285097,2012-01-09 10:00:00,0.0,0.705536
2.883,204,3.936285097,2012-01-09 11:00:00,0.0,0.705536
2.883,205,3.936285097,2012-01-09 12:00:00,0.0,0.705536
2.883,206,3.936285097,2012-01-09 13:00:00,0.0,0.705536
2.883,207,3.936285097,2012-01-09 14:00:00,0.0,0.705536
2.883,208,3.936285097,2012-01-09 15:00:00,0.0,0.705536
2.883,209,3.936285097,2012-01-09 16:00:00,0.0,0.705536
2.883,210,3.936285097,2012-01-09 17:00:00,0.0,0.705536
2.883,211,3.936285097,2012-01-09 18:00:00,0.0,0.705536
2.883,212,3.936285097,2012-01-09 19:00:00,0.0,0.705536
2.883,213,3.936285097,2012-01-09 20:00:00,0.0,0.705536
2.883,214,3.936285097,2012-01-09 21:00:00,0.0,0.705536
2.883,215,3.936285097,2012-01-09 22:00:00,0.0,0.705536
2.883,216,3.936285097,2012-01-09 23:00:00,0.0,0.705536
2.92,217,3.918286537,2012-01-10 00:00:00,0.0,0.705536
2.92,218,3.918286537,2012-01-10 01:00:00,0.0,0.705536
2.92,219,3.918286537,2012-01-10 02:00:00,0.0,0.705536
2.92,220,3.918286537,2012-01-10 03:00:00,0.0,0.705536
2.92,221,3.918286537,2012-01-10 04:00:00,0.0,0.705536
2.92,222,3.918286537,2012-01-10 05:00:00,0.0,0.705536
2.92,223,3.918286537,2012-01-10 06:00:00,0.0,0.705536
2.92,224,3.918286537,2012-01-10 07:00:00,0.0,0.705536
2.92,225,3.918286537,2012-01-10 08:00:00,0.0,0.705536
2.92,226,3.918286537,2012-01-10 09:00:00,0.0,0.705536
2.92,227,3.918286537,2012-01-10 10:00:00,0.0,0.705536
2.92,228,3.918286537,2012-01-10 11:00:00,0.0,0.705536
2.92,229,3.918286537,2012-01-10 12:00:00,0.0,0.705536
2.92,230,3.918286537,2012-01-10 13:00:00,0.0,0.705536
2.92,231,3.918286537,2012-01-10 14:00:00,0.0,0.705536
2.92,232,3.918286537,2012-01-10 15:00:00,0.0,0.705536
2.92,233,3.918286537,2012-01-10 16:00:00,0.0,0.705536
2.92,234,3.918286537,2012-01-10 17:00:00,0.0,0.705536
2.92,235,3.918286537,2012-01-10 18:00:00,0.0,0.705536
2.92,236,3.918286537,2012-01-10 19:00:00,0.0,0.705536
2.92,237,3.918286537,2012-01-10 20:00:00,0.0,0.705536
2.92,238,3.918286537,2012-01-10 21:00:00,0.0,0.705536
2.92,239,3.918286537,2012-01-10 22:00:00,0.0,0.705536
2.92,240,3.918286537,2012-01-10 23:00:00,0.0,0.705536
2.976,241,3.893088553,2012-01-11 00:00:00,0.0,0.705536
2.976,242,3.893088553,2012-01-11 01:00:00,0.0,0.705536
2.976,243,3.893088553,2012-01-11 02:00:00,0.0,0.705536
2.976,244,3.893088553,2012-01-11 03:00:00,0.0,0.705536
2.976,245,3.893088553,2012-01-11 04:00:00,0.0,0.705536
2.976,246,3.893088553,2012-01-11 05:00:00,0.0,0.705536
2.976,247,3.893088553,2012-01-11 06:00:00,0.0,0.705536
2.976,248,3.893088553,2012-01-11 07:00:00,0.0,0.705536
2.976,249,3.893088553,2012-01-11 08:00:00,0.0,0.705536
2.976,250,3.893088553,2012-01-11 09:00:00,0.0,0.705536
2.976,251,3.893088553,2012-01-11 10:00:00,0.0,0.705536
2.976,252,3.893088553,2012-01-11 11:00:00,0.0,0.705536
2.976,253,3.893088553,2012-01-11 12:00:00,0.0,0.705536
2.976,254,3.893088553,2012-01-11 13:00:00,0.0,0.705536
2.976,255,3.893088553,2012-01-11 14:00:00,0.0,0.705536
2.976,256,3.893088553,2012-01-11 15:00:00,0.0,0.705536
2.976,257,3.893088553,2012-01-11 16:00:00,0.0,0.705536
2.976,258,3.893088553,2012-01-11 17:00:00,0.0,0.705536
2.976,259,3.893088553,2012-01-11 18:00:00,0.0,0.705536
2.976,260,3.893088553,2012-01-11 19:00:00,0.0,0.705536
2.976,261,3.893088553,2012-01-11 20:00:00,0.0,0.705536
2.976,262,3.893088553,2012-01-11 21:00:00,0.0,0.705536
2.976,263,3.893088553,2012-01-11 22:00:00,0.0,0.705536
2.976,264,3.893088553,2012-01-11 23:00:00,0.0,0.705536
2.808,265,3.878689705,2012-01-12 00:00:00,0.0,0.705536
2.808,266,3.878689705,2012-01-12 01:00:00,0.0,0.705536
2.808,267,3.878689705,2012-01-12 02:00:00,0.0,0.705536
2.808,268,3.878689705,2012-01-12 03:00:00,0.0,0.705536
2.808,269,3.878689705,2012-01-12 04:00:00,0.0,0.705536
2.808,270,3.878689705,2012-01-12 05:00:00,0.0,0.705536
2.808,271,3.878689705,2012-01-12 06:00:00,0.0,0.705536
2.808,272,3.878689705,2012-01-12 07:00:00,0.0,0.705536
2.808,273,3.878689705,2012-01-12 08:00:00,0.0,0.705536
2.808,274,3.878689705,2012-01-12 09:00:00,0.0,0.705536
2.808,275,3.878689705,2012-01-12 10:00:00,0.0,0.705536
2.808,276,3.878689705,2012-01-12 11:00:00,0.0,0.705536
2.808,277,3.878689705,2012-01-12 12:00:00,0.0,0.705536
2.808,278,3.878689705,2012-01-12 13:00:00,0.0,0.705536
2.808,279,3.878689705,2012-01-12 14:00:00,0.0,0.705536
2.808,280,3.878689705,2012-01-12 15:00:00,0.0,0.705536
2.808,281,3.878689705,2012-01-12 16:00:00,0.0,0.705536
