,Time_Index,NG,None,coal,uranium
512,512,3.63368,0,2.3566238,0.705536
513,513,3.63368,0,2.3566238,0.705536
514,514,3.63368,0,2.3566238,0.705536
515,515,3.63368,0,2.3566238,0.705536
516,516,3.63368,0,2.3566238,0.705536
517,517,3.63368,0,2.3566238,0.705536
518,518,3.63368,0,2.3566238,0.705536
519,519,3.63368,0,2.3566238,0.705536
520,520,3.63368,0,2.3566238,0.705536
521,521,3.63368,0,2.3566238,0.705536
522,522,3.63368,0,2.3566238,0.705536
523,523,3.63368,0,2.3566238,0.705536
524,524,3.63368,0,2.3566238,0.705536
525,525,3.63368,0,2.3566238,0.705536
526,526,3.63368,0,2.3566238,0.705536
527,527,3.63368,0,2.3566238,0.705536
528,528,3.63368,0,2.3566238,0.705536
529,529,3.35172,0,2.3566238,0.705536
530,530,3.35172,0,2.3566238,0.705536
531,531,3.35172,0,2.3566238,0.705536
532,532,3.35172,0,2.3566238,0.705536
533,533,3.35172,0,2.3566238,0.705536
534,534,3.35172,0,2.3566238,0.705536
535,535,3.35172,0,2.3566238,0.705536
536,536,3.35172,0,2.3566238,0.705536
537,537,3.35172,0,2.3566238,0.705536
538,538,3.35172,0,2.3566238,0.705536
539,539,3.35172,0,2.3566238,0.705536
540,540,3.35172,0,2.3566238,0.705536
541,541,3.35172,0,2.3566238,0.705536
542,542,3.35172,0,2.3566238,0.705536
543,543,3.35172,0,2.3566238,0.705536
544,544,3.35172,0,2.3566238,0.705536
545,545,3.35172,0,2.3566238,0.705536
546,546,3.35172,0,2.3566238,0.705536
547,547,3.35172,0,2.3566238,0.705536
548,548,3.35172,0,2.3566238,0.705536
549,549,3.35172,0,2.3566238,0.705536
550,550,3.35172,0,2.3566238,0.705536
551,551,3.35172,0,2.3566238,0.705536
552,552,3.35172,0,2.3566238,0.705536
553,553,3.3178,0,2.3566238,0.705536
554,554,3.3178,0,2.3566238,0.705536
555,555,3.3178,0,2.3566238,0.705536
556,556,3.3178,0,2.3566238,0.705536
557,557,3.3178,0,2.3566238,0.705536
