Unnamed,NG,Time_Index,coal,None,uranium
200,2.888,200,2.953563715,0,0.705536
201,2.888,201,2.953563715,0,0.705536
202,2.888,202,2.953563715,0,0.705536
203,2.888,203,2.953563715,0,0.705536
204,2.888,204,2.953563715,0,0.705536
205,2.888,205,2.953563715,0,0.705536
206,2.888,206,2.953563715,0,0.705536
207,2.888,207,2.953563715,0,0.705536
208,2.888,208,2.953563715,0,0.705536
209,2.888,209,2.953563715,0,0.705536
210,2.888,210,2.953563715,0,0.705536
211,2.888,211,2.953563715,0,0.705536
212,2.888,212,2.953563715,0,0.705536
213,2.888,213,2.953563715,0,0.705536
214,2.888,214,2.953563715,0,0.705536
215,2.888,215,2.953563715,0,0.705536
216,2.888,216,2.953563715,0,0.705536
217,2.918,217,2.957163427,0,0.705536
218,2.918,218,2.957163427,0,0.705536
219,2.918,219,2.957163427,0,0.705536
220,2.918,220,2.957163427,0,0.705536
221,2.918,221,2.957163427,0,0.705536
222,2.918,222,2.957163427,0,0.705536
223,2.918,223,2.957163427,0,0.705536
224,2.918,224,2.957163427,0,0.705536
225,2.918,225,2.957163427,0,0.705536
226,2.918,226,2.957163427,0,0.705536
227,2.918,227,2.957163427,0,0.705536
228,2.918,228,2.957163427,0,0.705536
229,2.918,229,2.957163427,0,0.705536
230,2.918,230,2.957163427,0,0.705536
231,2.918,231,2.957163427,0,0.705536
232,2.918,232,2.957163427,0,0.705536
233,2.918,233,2.957163427,0,0.705536
234,2.918,234,2.957163427,0,0.705536
235,2.918,235,2.957163427,0,0.705536
236,2.918,236,2.957163427,0,0.705536
237,2.918,237,2.957163427,0,0.705536
238,2.918,238,2.957163427,0,0.705536
239,2.918,239,2.957163427,0,0.705536
240,2.918,240,2.957163427,0,0.705536
241,2.954,241,2.971562275,0,0.705536
242,2.954,242,2.971562275,0,0.705536
243,2.954,243,2.971562275,0,0.705536
244,2.954,244,2.971562275,0,0.705536
245,2.954,245,2.971562275,0,0.705536
246,2.954,246,2.971562275,0,0.705536
247,2.954,247,2.971562275,0,0.705536
248,2.954,248,2.971562275,0,0.705536
249,2.954,249,2.971562275,0,0.705536
250,2.954,250,2.971562275,0,0.705536
251,2.954,251,2.971562275,0,0.705536
252,2.954,252,2.971562275,0,0.705536
253,2.954,253,2.971562275,0,0.705536
254,2.954,254,2.971562275,0,0.705536
255,2.954,255,2.971562275,0,0.705536
256,2.954,256,2.971562275,0,0.705536
257,2.954,257,2.971562275,0,0.705536
258,2.954,258,2.971562275,0,0.705536
259,2.954,259,2.971562275,0,0.705536
260,2.954,260,2.971562275,0,0.705536
261,2.954,261,2.971562275,0,0.705536
262,2.954,262,2.971562275,0,0.705536
263,2.954,263,2.971562275,0,0.705536
264,2.954,264,2.971562275,0,0.705536
265,2.954,265,2.971562275,0,0.705536
266,2.954,266,2.971562275,0,0.705536
267,2.954,267,2.971562275,0,0.705536
268,2.954,268,2.971562275,0,0.705536
269,2.954,269,2.971562275,0,0.705536
270,2.954,270,2.971562275,0,0.705536
271,2.954,271,2.971562275,0,0.705536
272,2.954,272,2.971562275,0,0.705536
273,2.954,273,2.971562275,0,0.705536
274,2.954,274,2.971562275,0,0.705536
275,2.954,275,2.971562275,0,0.705536
276,2.954,276,2.971562275,0,0.705536
277,2.954,277,2.971562275,0,0.705536
278,2.954,278,2.971562275,0,0.705536
279,2.954,279,2.971562275,0,0.705536
280,2.954,280,2.971562275,0,0.705536
281,2.954,281,2.971562275,0,0.705536
282,2.954,282,2.971562275,0,0.705536
283,2.954,283,2.971562275,0,0.705536
284,2.954,284,2.971562275,0,0.705536
